value,report_period_begin,region_name,report_period_end
31,2021-01-01,Карачаево-Черкесская Респ.,2021-07-01
927,2021-01-01,Республика Татарстан,2021-07-01
145,2021-01-01,Курганская область,2021-08-01
3777,2021-01-01,Сибирский ФО,2021-08-01
716,2021-01-01,Приморский край,2021-09-01
22,2021-01-01,Брянская область,2021-06-01
37,2021-01-01,Орловская область,2021-06-01
122,2021-01-01,Амурская область,2021-06-01
595,2021-01-01,Кемеровская область-Кузбасс,2021-06-01
56,2021-01-01,Республика Марий Эл,2021-08-01
59,2021-01-01,Тверская область,2021-07-01
105,2021-01-01,Калужская область,2021-07-01
78,2021-01-01,Курская область,2021-08-01
96,2021-01-01,Тульская область,2021-08-01
43,2022-01-01,Республика Хакасия,2022-04-01
77,2022-01-01,Чувашская Республика,2022-04-01
11,2022-01-01,Еврейская АО,2022-04-01
415,2022-01-01,Красноярский край,2022-04-01
697,2022-01-01,Дальневосточный ФО,2022-04-01
185,2022-01-01,Иркутская область,2022-04-01
8,2022-01-01,Камчатский край,2022-04-01
16,2022-01-01,Еврейская АО,2022-05-01
1576,2022-01-01,Северо-Западный ФО,2022-05-01
18426,2022-01-01,Российская Федерация,2022-05-01
92,2022-01-01,Ульяновская область,2022-05-01
551,2022-01-01,Красноярский край,2022-05-01
67,2022-01-01,Курганская область,2022-05-01
51,2022-01-01,Республика Ингушетия,2022-05-01
43,2022-01-01,Курская область,2022-05-01
129,2022-01-01,Липецкая область,2022-05-01
1736,2022-01-01,Сибирский ФО,2022-04-01
1885,2022-01-01,г. Москва,2022-05-01
1609,2022-01-01,Южный ФО,2022-04-01
81,2022-01-01,Мурманская область,2022-05-01
2678,2022-01-01,Центральный ФО,2022-04-01
3754,2022-01-01,Центральный ФО,2022-05-01
3452,2022-01-01,Приволжский ФО,2022-05-01
213,2022-01-01,Астраханская область,2022-09-01
2841,2022-01-01,Уральский ФО,2022-05-01
32,2022-01-01,Брянская область,2022-09-01
267,2022-01-01,Иркутская область,2022-05-01
715,2022-01-01,Северо-Кавказский ФО,2022-05-01
1137,2022-01-01,Челябинская область,2022-05-01
22,2022-01-01,Камчатский край,2022-05-01
754,2022-01-01,г. Санкт-Петербург,2022-05-01
1,2022-01-01,Чукотский АО,2022-05-01
201,2022-01-01,Ленинградская область,2022-05-01
26,2022-01-01,Магаданская область,2022-05-01
541,2022-01-01,Республика Башкортостан,2022-05-01
636,2022-01-01,Московская область,2022-05-01
98,2022-01-01,Республика Дагестан,2022-05-01
68,2022-01-01,Новгородская  область,2022-05-01
14,2022-01-01,Республика Алтай,2022-05-01
131,2022-01-01,Новосибирская область,2022-05-01
40,2022-01-01,Магаданская область,2022-09-01
70,2022-01-01,Белгородская область,2022-09-01
1503,2022-01-01,Московская область,2022-09-01
236,2022-01-01,Владимирская область,2022-09-01
353,2022-01-01,Волгоградская область,2022-09-01
325,2022-01-01,Пермский край,2022-05-01
134,2022-01-01,г. Севастополь,2022-09-01
59,2022-01-01,Ярославская область,2022-05-01
74,2022-01-01,Забайкальский край,2022-05-01
34,2022-01-01,Республика Адыгея,2022-05-01
30,2022-01-01,Республика Бурятия,2022-05-01
91,2022-01-01,Кабардино-Балкарская Респ.,2022-05-01
6,2022-01-01,Республика Калмыкия,2022-05-01
60,2022-01-01,Республика Карелия,2022-05-01
3472,2022-01-01,г. Москва,2022-09-01
219,2022-01-01,Мурманская область,2022-09-01
160,2022-01-01,Новгородская  область,2022-09-01
51,2022-01-01,Республика Адыгея,2022-09-01
173,2022-01-01,Вологодская область,2022-09-01
354,2022-01-01,Новосибирская область,2022-09-01
445,2022-01-01,Республика Крым,2022-09-01
3,2022-01-01,Ненецкий АО,2022-09-01
646,2022-01-01,Тюменская область,2022-09-01
697,2022-01-01,Алтайский край,2022-09-01
1799,2022-01-01,Челябинская область,2022-09-01
1,2022-01-01,Чукотский АО,2022-09-01
27,2022-01-01,Ямало-Ненецкий АО,2022-02-01
173,2022-01-01,Ярославская область,2022-09-01
1081,2022-01-01,Республика Башкортостан,2022-09-01
135,2022-01-01,Тюменская область,2022-02-01
649,2022-01-01,Омская область,2022-09-01
33,2022-01-01,Республика Бурятия,2022-09-01
323,2022-01-01,Воронежская область,2022-09-01
364,2022-01-01,Оренбургская область,2022-09-01
469,2022-01-01,Ханты-Мансийский АО,2022-09-01
768,2022-01-01,Нижегородская область,2022-09-01
162,2022-01-01,Ямало-Ненецкий АО,2022-09-01
71,2022-01-01,Калининградская область,2022-09-01
269,2022-01-01,Архангельская область,2022-09-01
196,2022-01-01,Калужская область,2022-09-01
130,2022-01-01,Костромская область,2022-09-01
1735,2022-01-01,Краснодарский край,2022-09-01
150,2022-01-01,Курганская область,2022-09-01
144,2022-01-01,Самарская область,2022-02-01
22,2022-01-01,Архангельская область,2022-02-01
11,2022-01-01,Курская область,2022-02-01
270,2022-01-01,Республика Дагестан,2022-09-01
131,2022-01-01,Алтайский край,2022-02-01
111,2022-01-01,Орловская область,2022-09-01
165,2022-01-01,Ивановская область,2022-09-01
233,2022-01-01,Пензенская область,2022-09-01
183,2022-01-01,Тверская область,2022-09-01
934,2022-01-01,Кемеровская область-Кузбасс,2022-09-01
214,2022-01-01,Рязанская область,2022-09-01
285,2022-01-01,Кировская область,2022-09-01
110,2022-01-01,Сахалинская область,2022-09-01
817,2022-01-01,Самарская область,2022-09-01
272,2022-01-01,Смоленская область,2022-09-01
89,2022-01-01,Курская область,2022-09-01
12,2022-01-01,Курганская область,2022-02-01
7,2022-01-01,Республика Ингушетия,2022-02-01
255,2022-01-01,г. Санкт-Петербург,2022-02-01
0,2022-01-01,Чукотский АО,2022-02-01
63,2022-01-01,Ленинградская область,2022-02-01
13,2022-01-01,Республика Адыгея,2022-02-01
21,2022-01-01,Липецкая область,2022-02-01
214,2022-01-01,Кабардино-Балкарская Респ.,2022-09-01
374,2022-01-01,Краснодарский край,2022-02-01
86,2022-01-01,Псковская область,2022-09-01
26,2022-01-01,Республика Алтай,2022-09-01
1241,2022-01-01,Ростовская область,2022-09-01
112,2022-01-01,Республика Карелия,2022-09-01
675,2022-01-01,Саратовская область,2022-09-01
54,2022-01-01,Республика Марий Эл,2022-09-01
1566,2022-01-01,Свердловская область,2022-09-01
174,2022-01-01,Тамбовская область,2022-09-01
78,2022-01-01,Карачаево-Черкесская Респ.,2022-09-01
257,2022-01-01,Томская область,2022-09-01
24,2022-01-01,Республика Тыва,2022-09-01
627,2022-01-01,Челябинская область,2022-02-01
15,2022-01-01,Ярославская область,2022-02-01
23,2022-01-01,Забайкальский край,2022-02-01
145,2022-01-01,Республика Башкортостан,2022-02-01
5,2022-01-01,Магаданская область,2022-02-01
124,2022-01-01,Приморский край,2022-02-01
746,2022-01-01,г. Москва,2022-02-01
10,2022-01-01,Республика Калмыкия,2022-09-01
214,2022-01-01,Республика Коми,2022-09-01
85,2022-01-01,Хабаровский край,2022-02-01
72,2022-01-01,Республика Мордовия,2022-09-01
203,2022-01-01,Республика Сев. Осетия-Алания,2022-09-01
